2019,CASENUM,Fatality,DUI_Vio,Speed_Vio,Restraint_Vio,Pandemic,Urban,Rollover,SurfaceCond,MONTH
2019,201901207317,0,0,0,0,0,0,0,1,1
2019,201901207318,0,0,0,0,0,0,0,0,1
2019,201901207323,0,0,0,0,0,0,0,1,1
2019,201901207324,0,0,0,0,0,0,0,1,1
2019,201901207342,0,0,0,0,0,1,0,0,1
2019,201901207352,0,0,0,0,0,1,0,0,1
2019,201901207366,1,0,0,0,0,1,0,0,1
2019,201901207388,0,0,0,0,0,1,0,1,1
2019,201901207454,0,0,0,0,0,1,0,0,1
2019,201901207458,0,0,0,0,0,1,1,1,1
2019,201901207459,0,0,0,0,0,1,0,0,1
2019,201901207464,0,0,0,0,0,1,0,1,1
2019,201901207521,0,0,0,0,0,1,0,0,1
2019,201901207527,0,0,0,0,0,1,1,0,1
2019,201901207534,0,0,0,0,0,1,0,0,1
2019,201901207544,0,0,0,0,0,1,0,0,1
2019,201901207553,0,0,0,0,0,1,0,0,1
2019,201901207617,0,0,0,0,0,1,0,0,1
2019,201901207658,0,0,0,0,0,1,0,0,1
2019,201901207710,0,0,0,0,0,1,0,0,1
2019,201901207719,0,0,0,0,0,1,0,0,1
2019,201901207749,0,0,0,0,0,1,0,0,1
2019,201901207829,0,0,0,0,0,1,0,0,1
2019,201901207879,0,0,0,0,0,1,0,0,1
2019,201901207959,0,0,0,0,0,1,0,0,1
2019,201901208100,0,0,0,0,0,1,0,0,1
2019,201901208139,0,0,0,0,0,1,0,0,1
2019,201901208149,0,0,0,0,0,1,0,0,1
2019,201901208224,0,0,0,0,0,1,0,0,1
2019,201901208344,0,0,0,0,0,1,0,0,1
2019,201901208386,0,0,0,0,0,1,0,0,1
2019,201901208414,0,0,0,0,0,1,0,0,1
2019,201901208455,0,0,0,0,0,1,0,0,1
2019,201901208476,0,0,0,0,0,1,0,0,1
2019,201901208506,0,0,0,0,0,1,0,0,1
2019,201901208554,0,0,0,0,0,1,0,0,1
2019,201901208585,0,0,0,0,0,1,0,0,1
2019,201901208636,0,0,0,0,0,1,0,0,1
2019,201901208656,0,0,0,0,0,1,0,0,1
2019,201901208723,0,0,0,0,0,0,0,0,1
2019,201901208733,0,0,0,0,0,0,0,0,1
2019,201901208741,0,0,0,0,0,0,0,0,1
2019,201901208745,0,0,0,0,0,0,0,0,1
2019,201901208762,0,0,0,0,0,1,0,0,1
2019,201901208788,0,0,0,0,0,1,0,0,1
2019,201901208836,0,0,0,0,0,1,0,0,1
2019,201901208842,0,0,0,0,0,1,0,0,1
2019,201901208852,0,0,0,0,0,1,0,0,1
