CASENUM,Fatality,DUI_Vio,Speed_Vio,Restraint_Vio,Pandemic,Urban,Rollover,SurfaceCond,MONTH
201901203219,0,0,0,0,0,1,0,0,1
201901203248,0,0,0,0,0,1,0,0,1
201901203471,0,0,0,0,0,1,0,0,1
201901203482,0,0,0,0,0,1,0,0,1
201901203483,0,0,0,0,0,1,0,0,1
201901203487,0,0,0,0,0,1,0,0,1
201901203489,0,0,0,0,0,1,0,0,1
201901203490,0,0,0,0,0,1,0,0,1
201901203496,0,0,0,0,0,1,0,0,1
201901203498,0,0,0,0,0,1,0,1,1
201901203503,0,0,0,0,0,1,0,1,1
201901203505,0,0,0,0,0,1,0,1,1
201901203518,0,0,0,0,0,1,0,1,1
201901203856,0,0,0,0,0,1,0,0,1
201901203882,0,0,0,0,0,1,0,1,1
201901203897,0,0,0,0,0,1,0,0,1
201901204522,0,1,0,0,0,0,0,0,1
201901204524,0,0,0,0,0,0,0,0,1
201901204526,0,0,0,0,0,0,0,0,1
201901204540,0,0,1,0,0,0,0,0,1
201901204591,0,0,0,0,0,1,0,0,1
201901204611,0,0,0,0,0,1,1,0,1
201901204692,0,0,0,0,0,1,0,0,1
201901204731,0,0,0,0,0,1,0,0,1
201901204761,0,0,0,0,0,1,0,0,1
201901204967,0,0,0,0,0,1,0,1,1
201901205000,0,0,0,0,0,1,0,1,1
201901205038,0,0,0,0,0,1,0,0,1
201901205153,0,0,0,0,0,1,0,0,1
201901205179,0,0,0,0,0,0,0,0,1
201901205182,0,0,0,0,0,0,0,0,1
201901205186,0,0,0,0,0,0,0,0,1
201901205232,0,0,0,0,0,1,0,0,1
201901205234,0,0,0,0,0,1,0,1,1
201901205236,0,0,0,0,0,1,0,0,1
201901205240,0,1,0,0,0,1,0,0,1
201901205269,0,0,0,0,0,1,0,0,1
201901205272,0,0,0,0,0,1,0,0,1
201901205275,0,0,0,0,0,1,0,0,1
201901205288,0,0,0,0,0,1,0,0,1
201901205295,0,0,0,0,0,0,1,1,1
201901205299,0,0,0,0,0,0,1,1,1
201901205302,0,0,0,0,0,0,0,1,1
201901205307,0,0,0,0,0,1,0,0,1
201901205389,0,0,0,0,0,1,0,0,1
201901205494,0,0,0,0,0,1,0,0,1
201901205605,0,0,0,0,0,1,0,0,1
201901205922,0,0,0,0,0,1,0,0,1
201901206065,0,0,0,0,0,1,1,0,1
201901206084,0,0,0,0,0,1,0,0,1
201901206098,0,0,0,0,0,1,0,0,1
201901207063,0,0,0,0,0,0,0,0,1
201901207066,0,0,0,0,0,0,0,1,1
201901207068,0,0,0,0,0,0,0,0,1
201901207070,0,0,0,0,0,0,0,0,1
201901207071,0,0,0,0,0,0,0,1,1
201901207073,0,0,1,0,0,0,1,0,1
201901207074,0,0,0,0,0,0,0,0,1
201901207076,0,0,1,0,0,0,1,1,1
201901207077,0,0,0,0,0,0,0,0,1
201901207078,0,0,0,0,0,0,0,0,1
201901207079,0,0,0,0,0,0,0,0,1
201901207080,0,0,0,0,0,0,0,0,1
201901207085,0,0,0,0,0,0,0,1,1
201901207089,0,0,0,0,0,0,0,0,1
201901207096,0,0,0,0,0,0,0,0,1
201901207165,0,0,0,0,0,1,0,0,1
201901207285,0,0,0,0,0,1,0,0,1
201901207310,0,0,0,0,0,0,0,1,1
201901207317,0,0,0,0,0,0,0,1,1
201901207318,0,0,0,0,0,0,0,0,1
201901207323,0,0,0,0,0,0,0,1,1
201901207324,0,0,0,0,0,0,0,1,1
201901207342,0,0,0,0,0,1,0,0,1
201901207352,0,0,0,0,0,1,0,0,1
201901207366,1,0,0,0,0,1,0,0,1
201901207388,0,0,0,0,0,1,0,1,1
201901207454,0,0,0,0,0,1,0,0,1
201901207458,0,0,0,0,0,1,1,1,1
201901207459,0,0,0,0,0,1,0,0,1
201901207464,0,0,0,0,0,1,0,1,1
201901207521,0,0,0,0,0,1,0,0,1
201901207527,0,0,0,0,0,1,1,0,1
201901207534,0,0,0,0,0,1,0,0,1
201901207544,0,0,0,0,0,1,0,0,1
201901207553,0,0,0,0,0,1,0,0,1
201901207617,0,0,0,0,0,1,0,0,1
201901207658,0,0,0,0,0,1,0,0,1
201901207710,0,0,0,0,0,1,0,0,1
201901207719,0,0,0,0,0,1,0,0,1
201901207749,0,0,0,0,0,1,0,0,1
201901207829,0,0,0,0,0,1,0,0,1
201901207879,0,0,0,0,0,1,0,0,1
201901207959,0,0,0,0,0,1,0,0,1
201901208100,0,0,0,0,0,1,0,0,1
201901208139,0,0,0,0,0,1,0,0,1
201901208149,0,0,0,0,0,1,0,0,1
201901208224,0,0,0,0,0,1,0,0,1
201901208344,0,0,0,0,0,1,0,0,1
201901208386,0,0,0,0,0,1,0,0,1
201901208414,0,0,0,0,0,1,0,0,1
201901208455,0,0,0,0,0,1,0,0,1
201901208476,0,0,0,0,0,1,0,0,1
201901208506,0,0,0,0,0,1,0,0,1
201901208554,0,0,0,0,0,1,0,0,1
201901208585,0,0,0,0,0,1,0,0,1
201901208636,0,0,0,0,0,1,0,0,1
201901208656,0,0,0,0,0,1,0,0,1
201901208723,0,0,0,0,0,0,0,0,1
201901208733,0,0,0,0,0,0,0,0,1
201901208741,0,0,0,0,0,0,0,0,1
